ask,bid,cost_basis,cost_method,cost_settings,cost_status,data_age_ms,decision_time,event_id,execution_decision_time,execution_status,exit_ask,exit_bid,exit_data_age_ms,exit_expected_fill_price,exit_price_source,exit_quote_delay_ms,exit_quote_source,exit_quote_timestamp,exit_reference_price,exit_result,exit_timestamp,expected_fill_price,fee_R,gross_R,missing_cost_inputs,net_R,signal_price,slippage_R,source_scan_time,spread_R,spread_bps,spread_definition,spread_pct,ticker_time
13.328,13.327,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,623404.268,2026-09-25T09:23:47.299268+09:00,511_202609250910_LINK_USDT_LONG,2026-09-25T09:44:10.179389+09:00,REFERENCE_QUOTE,13.271,13.27,3370.3889999999997,13.27,KLINE,546809.0,MEXC_TICKER,2026-09-25T09:44:06.809000+09:00,13.258375,SL,2026-09-25T09:35:00+09:00,13.328,,-1.0000000000000022,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,13.325,,2026-09-25T09:13:47.092000+09:00,-0.12945590994371972,0.750469043151554,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.007504690431515541,2026-09-25 09:13:23.895
0.5254,0.5253,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,623443.268,2026-09-25T09:23:47.299268+09:00,511_202609250910_ONDO_USDT_LONG,2026-09-25T09:23:54.369503+09:00,REFERENCE_QUOTE,0.5207,0.5205,2511.5029999999997,0.5205,KLINE,231858.0,MEXC_TICKER,2026-09-25T09:23:51.858000+09:00,0.5227729999999999,SL,2026-09-25T09:20:00+09:00,0.5254,,-1.0000000000000175,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,0.5254,,2026-09-25T09:13:40.024000+09:00,0.8652455272173466,1.9033117624664826,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.019033117624664826,2026-09-25 09:13:23.856
117.47,117.46,,,,,623415.2679999999,2026-09-25T09:23:47.299268+09:00,511_202609250910_SOL_USDT_LONG,,REFERENCE_QUOTE,,,,,,,,,,,,117.47,,,,,117.45,,2026-09-25T09:13:31.819000+09:00,,0.8514261387828962,,0.008514261387828962,2026-09-25 09:13:23.884
1.0228,1.0225,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,623414.268,2026-09-25T09:23:47.299268+09:00,511_202609250910_SUI_USDT_LONG,2026-09-25T09:23:54.369503+09:00,REFERENCE_QUOTE,1.0337,1.0334,2484.503,1.0334,KLINE,231885.0,MEXC_TICKER,2026-09-25T09:23:51.885000+09:00,1.0276124999999998,TP,2026-09-25T09:20:00+09:00,1.0228,,0.9999999999999714,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,1.0225,,2026-09-25T09:13:37.090000+09:00,-1.0733496332518948,2.933985330073027,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.02933985330073027,2026-09-25 09:13:23.885
93.89,93.87,,,,,623443.268,2026-09-25T09:23:47.299268+09:00,511_202609250910_USOIL_USDT_SHORT,,REFERENCE_QUOTE,,,,,,,,,,,,93.87,,,,,93.87,,2026-09-25T09:13:46.070000+09:00,,2.1306061574513713,,0.021306061574513712,2026-09-25 09:13:23.856
1.5438,1.5433,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,623416.2679999999,2026-09-25T09:23:47.299268+09:00,511_202609250910_XRP_USDT_LONG,2026-09-25T09:34:23.757766+09:00,REFERENCE_QUOTE,1.5539,1.5538,2885.7659999999996,1.5538,KLINE,560872.0,MEXC_TICKER,2026-09-25T09:34:20.872000+09:00,1.5510164999999998,TP,2026-09-25T09:25:00+09:00,1.5438,,0.9999999999999877,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,1.5433,,2026-09-25T09:13:30.808000+09:00,-0.29592431801984126,3.239810795050651,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.03239810795050651,2026-09-25 09:13:23.883
10.251,10.25,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,665032.836,2026-09-25T09:34:16.868836+09:00,511_202609250920_AVAX_USDT_SHORT,2026-09-25T09:44:10.179389+09:00,REFERENCE_QUOTE,10.205,10.202,3368.389,10.205,KLINE,546811.0,MEXC_TICKER,2026-09-25T09:44:06.811000+09:00,10.19676,TP,2026-09-25T09:35:00+09:00,10.25,,0.999999999999999,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,10.248,,2026-09-25T09:23:43.853000+09:00,0.12177985948477797,0.9758001561274843,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.009758001561274843,2026-09-25 09:23:11.836
8.025,8.024,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,665019.836,2026-09-25T09:34:16.868836+09:00,511_202609250920_INJ_USDT_SHORT,2026-09-25T09:34:23.757766+09:00,REFERENCE_QUOTE,7.946,7.941,2859.766,7.946,KLINE,260898.00000000003,MEXC_TICKER,2026-09-25T09:34:20.898000+09:00,7.984875000000001,TP,2026-09-25T09:30:00+09:00,8.024,,0.9999999999999936,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,8.025,,2026-09-25T09:23:47.064000+09:00,-0.9439252336448513,1.2461059190046382,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.012461059190046383,2026-09-25 09:23:11.849
298.13,298.1,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,665042.836,2026-09-25T09:34:16.868836+09:00,511_202609250920_TAO_USDT_LONG,2026-09-25T09:34:23.757766+09:00,REFERENCE_QUOTE,296.68,296.65,2881.7659999999996,296.65,KLINE,260875.99999999997,MEXC_TICKER,2026-09-25T09:34:20.876000+09:00,296.4702,SL,2026-09-25T09:30:00+09:00,298.13,,-1.0000000000000016,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,297.96,,2026-09-25T09:23:33.263000+09:00,-0.006578064169676645,1.0068465565838607,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.010068465565838607,2026-09-25 09:23:11.826
71.22,71.2,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,628759.882,2026-09-25T09:44:05.678882+09:00,511_202609250930_LTC_USDT_SHORT,2026-09-25T09:54:03.294024+09:00,REFERENCE_QUOTE,71.14,71.12,4407.023999999999,71.14,KLINE,538887.0,MEXC_TICKER,2026-09-25T09:53:58.887000+09:00,71.556,SL,2026-09-25T09:45:00+09:00,71.2,,-0.9999999999999846,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,71.2,,2026-09-25T09:33:56.442000+09:00,-1.1685393258426875,2.8089887640443845,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.028089887640443845,2026-09-25 09:33:36.919
91.316,91.315,,,,,622531.713,2026-09-25T09:53:56.357713+09:00,511_202609250940_HYPE_USDT_SHORT,,REFERENCE_QUOTE,,,,,,,,,,,,91.315,,,,,91.32,,2026-09-25T09:43:53.110000+09:00,,0.10950503723223554,,0.0010950503723223554,2026-09-25 09:43:33.826
1764.31,1764.3,,,,,622535.713,2026-09-25T09:53:56.357713+09:00,511_202609250940_SNDKSTOCK_USDT_LONG,,REFERENCE_QUOTE,,,,,,,,,,,,1764.31,,,,,1764.3,,2026-09-25T09:43:54.928000+09:00,,0.05667970299830474,,0.0005667970299830474,2026-09-25 09:43:33.822
93.63,93.61,,,,,622550.713,2026-09-25T09:53:56.357713+09:00,511_202609250940_USOIL_USDT_SHORT,,REFERENCE_QUOTE,,,,,,,,,,,,93.61,,,,,93.63,,2026-09-25T09:43:55.811000+09:00,,2.1360674997325666,,0.021360674997325666,2026-09-25 09:43:33.807
1.5486,1.5485,,,,,622527.713,2026-09-25T09:53:56.357713+09:00,511_202609250940_XRP_USDT_LONG,,REFERENCE_QUOTE,,,,,,,,,,,,1.5486,,,,,1.5485,,2026-09-25T09:43:41.640000+09:00,,0.6457862447529157,,0.006457862447529156,2026-09-25 09:43:33.830
0.23447,0.23446,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,659123.427,2026-09-25T10:04:16.114427+09:00,511_202609250950_ENA_USDT_LONG,2026-09-25T10:04:23.762739+09:00,REFERENCE_QUOTE,0.2371,0.23709,1841.739,0.23709,KLINE,261921.0,MEXC_TICKER,2026-09-25T10:04:21.921000+09:00,0.23337725,SL,2026-09-25T10:00:00+09:00,0.23447,,-1.0000000000000002,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,0.23455,,2026-09-25T09:53:56.014000+09:00,-3.2340652312939535,0.4263483265832445,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.004263483265832445,2026-09-25 09:53:16.991
1.0355,1.0354,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,659145.427,2026-09-25T10:04:16.114427+09:00,511_202609250950_SUI_USDT_LONG,2026-09-25T10:04:23.762739+09:00,REFERENCE_QUOTE,1.054,1.0536,1862.739,1.0536,KLINE,261899.99999999997,MEXC_TICKER,2026-09-25T10:04:21.900000+09:00,1.0406775,TP,2026-09-25T10:00:00+09:00,1.0355,,0.999999999999968,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,1.0355,,2026-09-25T09:53:34.722000+09:00,-2.495895702559183,0.9657170449057362,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.009657170449057362,2026-09-25 09:53:16.969
0.23667,0.23666,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,667442.348,2026-09-25T10:14:42.242348+09:00,511_202609251000_ENA_USDT_LONG,2026-09-25T10:14:50.118258+09:00,REFERENCE_QUOTE,0.23258,0.23257,3152.258,0.23257,KLINE,286966.0,MEXC_TICKER,2026-09-25T10:14:46.966000+09:00,0.2356359,SL,2026-09-25T10:10:00+09:00,0.23667,,-0.9999999999999946,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,0.23682,,2026-09-25T10:04:15.767000+09:00,2.4625453931255796,0.4222616333072479,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.0042226163330724795,2026-09-25 10:03:34.800
1.0544,1.0543,OBSERVED_EXPECTED_NOTIONAL,components,{},MISSING_FEE_CONFIG,667464.348,2026-09-25T10:14:42.242348+09:00,511_202609251000_SUI_USDT_LONG,2026-09-25T10:14:50.118258+09:00,REFERENCE_QUOTE,1.0446,1.0444,3174.258,1.0444,KLINE,286944.0,MEXC_TICKER,2026-09-25T10:14:46.944000+09:00,1.0494265,SL,2026-09-25T10:10:00+09:00,1.0544,,-0.999999999999987,"[""MISSING_FEE_CONFIG"", ""MISSING_SLIPPAGE_CONFIG""]",,1.0547,,2026-09-25T10:03:51.864000+09:00,0.896273821939903,0.9481369109698397,SIGNED_REFERENCE_TO_QUOTE_IMPACT,0.009481369109698396,2026-09-25 10:03:34.778
